Desa,Persentase gaji di atas UMK,Persentase sumber listrik PLN,Persentase air bersih PDAM,"Persentase bangunan rumah bukan ""rumah kecil""",Rata-rata luas lahan (Ha),Rata-rata produksi pertanian (ton),Rata-rata tangkapan ikan (Kg),Persentase petani membeli pupuk,Persentase petani membeli pestisida,Persentase petani menyewa alat pertanian,Persentase kepemilikan ternak,Persentase tidak membeli obat,Persentase keluarga sehat,Persentase kemandirian perekonomian desa,KM_Cluster,HC_Cluster,DB_Cluster_minsample_2,DB_Cluster_minsample_3,desaa
Balauring,20.0,100.0,76.66666666666667,80.0,10.35,0.4966666666666667,9.3,66.66666666666666,11.11111111111111,0.0,66.66666666666666,90.0,66.66666666666667,30.0,1,2,-1,-1,Balauring
Benihading I,66.66666666666666,100.0,0.0,50.0,1.1562333333333332,0.5929586666666666,0.0,0.0,7.4074074074074066,0.0,100.0,80.0,36.66666666666667,16.666666666666657,1,2,-1,-1,Benihading
Bour,21.428571428571427,96.42857142857144,0.0,57.14285714285714,0.720125,2.130035714285714,0.8214285714285714,50.0,83.33333333333334,41.66666666666667,92.85714285714286,85.71428571428572,64.28571428571428,14.285714285714292,1,2,-1,-1,Bour
Dikesare,6.666666666666667,100.0,0.0,66.66666666666666,0.2059333333333333,20.1271098,7.666666666666667,0.0,0.0,0.0,76.66666666666667,96.66666666666669,80.0,23.33333333333333,1,2,0,0,Dikesare
Duawutun,20.0,100.0,100.0,80.0,0.9283333333333332,5.889333333333334,1.2333333333333334,0.0,0.0,0.0,66.66666666666666,100.0,90.0,50.0,0,1,-1,-1,Duawutun
Dulitukan,23.33333333333333,100.0,16.666666666666664,63.33333333333333,1.0255833333333333,1.7690633333333332,0.3,0.0,0.0,0.0,93.33333333333331,63.333333333333336,63.333333333333336,36.66666666666667,1,2,0,0,Dulitukan
Hoelea I,16.666666666666664,100.0,0.0,70.0,0.4758333333333333,0.6492,0.4333333333333333,85.71428571428571,57.14285714285714,0.0,93.33333333333331,90.0,70.0,13.333333333333329,1,2,-1,-1,Hoelea I
Ile Kimok,20.0,100.0,0.0,76.66666666666667,23.9565,7.212166666666666,0.0,7.142857142857142,53.57142857142857,0.0,96.66666666666669,96.66666666666669,13.333333333333329,20.0,1,2,0,0,Ile Kimok
Kalikur,46.66666666666666,100.0,0.0,70.0,16.93316666666667,14.839666666666666,2.7333333333333334,100.0,100.0,11.11111111111111,43.333333333333336,80.0,83.33333333333334,53.333333333333336,1,2,-1,-1,Kalikur
Katakeja,32.25806451612903,96.7741935483871,100.0,70.96774193548387,0.3303225806451613,0.0283870967741935,0.0,0.0,33.33333333333333,66.66666666666666,83.87096774193549,64.51612903225806,61.29032258064516,38.70967741935484,0,1,-1,-1,Katakeja
Labalimut,36.66666666666666,100.0,100.0,63.33333333333333,138.23279,57.6559,0.0,0.0,0.0,7.6923076923076925,83.33333333333334,76.66666666666667,26.66666666666667,30.0,0,1,-1,-1,Labalimut
Lamatuka,32.25806451612903,100.0,100.0,74.19354838709677,5.4195,0.4615258064516129,2.5161290322580645,0.0,0.0,0.0,90.32258064516128,74.19354838709677,45.16129032258065,38.70967741935484,0,1,1,1,Lamatuka
Laranwutun,30.0,100.0,100.0,80.0,91.53333333333332,8.142516666666667,2.2666666666666666,0.0,57.14285714285714,7.142857142857142,93.33333333333331,73.33333333333333,40.0,40.0,0,1,-1,-1,Laranwutun
Lolong,10.0,100.0,100.0,43.333333333333336,0.23718,0.1172666666666666,0.3666666666666666,0.0,0.0,0.0,83.33333333333334,86.66666666666667,20.0,20.0,0,1,1,1,Lolong
Mahal I,10.0,100.0,3.333333333333333,66.66666666666666,91.9233,21.061866666666667,0.1,68.75,87.5,12.5,66.66666666666666,86.66666666666667,90.0,70.0,1,2,-1,-1,Mahal
Merdeka,43.333333333333336,100.0,0.0,83.33333333333334,2.3176666666666668,0.3665666666666666,0.2166666666666666,7.142857142857142,28.57142857142857,7.142857142857142,83.33333333333334,96.66666666666669,43.333333333333336,60.0,1,2,0,0,Merdeka
Muruona,7.317073170731707,100.0,100.0,60.97560975609756,1.4347560975609757,2.6506097560975608,1.2195121951219512,4.3478260869565215,52.17391304347826,0.0,85.36585365853658,85.3658536585366,17.07317073170732,36.58536585365854,0,1,1,1,Muruona
Nubamado,16.666666666666664,90.0,100.0,63.33333333333333,1.0619166666666666,26.6159,0.0,0.0,30.76923076923077,0.0,73.33333333333333,83.33333333333334,43.333333333333336,53.333333333333336,0,1,-1,-1,Nubamado
Pada,22.58064516129032,93.5483870967742,93.5483870967742,64.51612903225806,0.5525161290322581,0.5287096774193548,1.1290322580645162,16.666666666666664,8.333333333333332,16.666666666666664,64.51612903225806,93.5483870967742,58.064516129032256,19.354838709677423,0,1,-1,-1,Pada
Paubokol,3.333333333333333,100.0,0.0,63.33333333333333,9.157466666666666,0.7143333333333334,0.0,4.761904761904762,38.095238095238095,0.0,73.33333333333333,90.0,30.0,20.0,1,2,0,0,Paubokol
Puor,26.666666666666668,100.0,0.0,83.33333333333334,0.80545,0.4503,0.0,12.5,0.0,18.75,80.0,86.66666666666667,70.0,23.33333333333333,1,2,0,0,Puor
Riangbao,23.33333333333333,100.0,100.0,76.66666666666667,0.54494,50.167,0.5666666666666667,0.0,36.36363636363637,0.0,83.33333333333334,96.66666666666669,73.33333333333333,20.0,0,1,-1,-1,Riangbao
Tagawiti,3.333333333333333,100.0,0.0,66.66666666666666,0.731,12.217333333333332,3.3,0.0,0.0,0.0,66.66666666666666,80.0,76.66666666666667,50.0,1,2,0,0,Tagawiti
Todanara,17.24137931034483,100.0,0.0,96.55172413793105,0.8765172413793103,36.516089655172415,0.1724137931034483,5.0,50.0,10.0,3.4482758620689653,82.75862068965517,55.172413793103445,27.58620689655173,1,2,-1,-1,Todanara
Tubukrajan,26.666666666666668,96.66666666666669,100.0,16.666666666666664,0.2406666666666666,0.3356666666666666,0.0,0.0,0.0,0.0,46.66666666666666,86.66666666666667,96.66666666666669,96.66666666666669,0,1,-1,-1,Tubuk Rajan
Tubung Walang,6.666666666666667,96.66666666666669,0.0,53.333333333333336,24.66775,10.67187,0.0,68.42105263157895,26.31578947368421,5.263157894736842,66.66666666666666,63.333333333333336,70.0,26.66666666666667,1,2,-1,-1,Tubungwalang
Waienga,3.333333333333333,96.66666666666669,6.666666666666667,76.66666666666667,83.84774999999999,0.3709333333333333,1.4233333333333331,6.666666666666667,86.66666666666667,0.0,90.0,86.66666666666667,60.0,13.333333333333329,1,2,-1,-1,Waienga
Watodiri,43.333333333333336,100.0,93.33333333333331,76.66666666666667,0.46925,7.058836666666666,1.1333333333333333,0.0,0.0,0.0,83.33333333333334,76.66666666666667,40.0,53.333333333333336,0,1,1,1,Watodiri
Wuakerong,33.33333333333333,100.0,96.66666666666669,56.66666666666666,1.2670833333333331,25.562666666666665,0.7333333333333333,0.0,35.714285714285715,14.285714285714285,80.0,80.0,36.66666666666667,50.0,0,1,1,1,Wuakerong
